key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
smith_WR_PHI,DeVonta Smith,WR,PHI,,,,0,0,90,6,1158,,0,,,,,,,,,,,,
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,,,,0,2,89,9,956,,1,,,,,,,,,,,,
egbuka_WR_TB,Emeka Egbuka,WR,TB,,,,0,10,72,8,1118,,0,,,,,,,,,,,,
mcconkey_WR_LAC,Ladd McConkey,WR,LAC,,,,0,0,82,7,1032,,0,,,,,,,,,,,,
williams_WR_DET,Jameson Williams,WR,DET,,,,1,40,63,7,1083,,0,,,,,,,,,,,,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,,,,0,1,64,10,925,,0,,,,,,,,,,,,
burden_WR_CHI,Luther Burden III,WR,CHI,,,,0,32,72,6,1056,,0,,,,,,,,,,,,
waddle_WR_DEN,Jaylen Waddle,WR,DEN,,,,0,25,75,6,996,,0,,,,,,,,,,,,
adams_WR_LAR,Davante Adams,WR,LAR,,,,0,0,69,10,849,,0,,,,,,,,,,,,
moore_WR_BUF,DJ Moore,WR,BUF,,,,1,81,69,8,813,,1,,,,,,,,,,,,
pierce_WR_IND,Alec Pierce,WR,IND,,,,0,0,49,9,1067,,0,,,,,,,,,,,,
odunze_WR_CHI,Rome Odunze,WR,CHI,,,,0,4,62,8,916,,0,,,,,,,,,,,,
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,,,,0,0,66,7,952,,0,,,,,,,,,,,,
sutton_WR_DEN,Courtland Sutton,WR,DEN,,,,0,0,70,7,911,,0,,,,,,,,,,,,
thomas_WR_JAX,Brian Thomas Jr.,WR,JAX,,,,1,30,61,6,942,,0,,,,,,,,,,,,
watson_WR_GB,Christian Watson,WR,GB,,,,0,13,53,9,904,,0,,,,,,,,,,,,
evans_WR_SF,Mike Evans,WR,SF,,,,0,0,69,7,900,,0,,,,,,,,,,,,
washington_WR_JAX,Parker Washington,WR,JAX,,,,0,2,62,7,924,,0,,,,,,,,,,,,
godwin_WR_TB,Chris Godwin,WR,TB,,,,0,1,75,6,841,,0,,,,,,,,,,,,
metcalf_WR_PIT,DK Metcalf,WR,PIT,,,,1,10,61,6,891,,0,,,,,,,,,,,,
johnston_WR_LAC,Quentin Johnston,WR,LAC,,,,0,7,58,9,784,,1,,,,,,,,,,,,
robinson_WR_TEN,Wan'Dale Robinson,WR,TEN,,,,0,6,84,4,796,,0,,,,,,,,,,,,
wilson_WR_ARI,Michael Wilson,WR,ARI,,,,0,2,66,6,837,,0,,,,,,,,,,,,
meyers_WR_JAX,Jakobi Meyers,WR,JAX,,,,0,17,68,5,814,,1,,,,,,,,,,,,
pittman_WR_PIT,Michael Pittman,WR,PIT,,,,0,0,77,6,677,,0,,,,,,,,,,,,
doubs_WR_NE,Romeo Doubs,WR,NE,,,,0,0,61,6,812,,0,,,,,,,,,,,,
downs_WR_IND,Josh Downs,WR,IND,,,,0,2,69,6,710,,1,,,,,,,,,,,,
concepcion_WR_CLE,KC Concepcion,WR,CLE,,,,0,10,69,4,847,,2,,,,,,,,,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,,,,1,115,66,5,654,,1,,,,,,,,,,,,
stribling_WR_SF,De'Zhaun Stribling,WR,SF,,,,0,13,60,5,862,,2,,,,,,,,,,,,
shaheed_WR_SEA,Rashid Shaheed,WR,SEA,,,,0,91,57,4,860,,1,,,,,,,,,,,,
addison_WR_MIN,Jordan Addison,WR,MIN,,,,1,78,50,6,739,,0,,,,,,,,,,,,
jeudy_WR_CLE,Jerry Jeudy,WR,CLE,,,,0,4,66,4,830,,1,,,,,,,,,,,,
reed_WR_GB,Jayden Reed,WR,GB,,,,0,151,59,5,702,,0,,,,,,,,,,,,
diggs_WR_WSH,Stefon Diggs,WR,WSH,,,,0,2,68,4,748,,0,,,,,,,,,,,,
coker_WR_CAR,Jalen Coker,WR,CAR,,,,0,0,59,6,746,,1,,,,,,,,,,,,
boston_WR_CLE,Denzel Boston,WR,CLE,,,,0,10,63,4,782,,2,,,,,,,,,,,,
ridley_WR_TEN,Calvin Ridley,WR,TEN,,,,1,23,50,3,846,,0,,,,,,,,,,,,
worthy_WR_KC,Xavier Worthy,WR,KC,,,,1,152,53,4,642,,0,,,,,,,,,,,,
allen_WR_IND,Keenan Allen,WR,IND,,,,0,0,62,5,675,,0,,,,,,,,,,,,
golden_WR_GB,Matthew Golden,WR,GB,,,,0,67,52,4,750,,0,,,,,,,,,,,,
shakir_WR_BUF,Khalil Shakir,WR,BUF,,,,0,4,67,4,646,,1,,,,,,,,,,,,
tate_WR_TEN,Carnell Tate,WR,TEN,,,,0,9,56,4,770,,2,,,,,,,,,,,,
jennings_WR_MIN,Jauan Jennings,WR,MIN,,,,0,0,51,7,632,,1,,,,,,,,,,,,
lane_WR_BAL,Ja'Kobi Lane,WR,BAL,,,,0,17,44,7,653,,1,,,,,,,,,,,,
kupp_WR_SEA,Cooper Kupp,WR,SEA,,,,0,3,57,4,694,,1,,,,,,,,,,,,
lemon_WR_PHI,Makai Lemon,WR,PHI,,,,0,13,53,4,738,,2,,,,,,,,,,,,
tucker_WR_LV,Tre Tucker,WR,LV,,,,0,52,52,5,605,,0,,,,,,,,,,,,
bateman_WR_BAL,Rashod Bateman,WR,BAL,,,,0,0,40,8,583,,0,,,,,,,,,,,,
franklin_WR_DEN,Troy Franklin,WR,DEN,,,,0,11,56,5,590,,1,,,,,,,,,,,,
lance_WR_NO,Bryce Lance,WR,NO,,,,0,10,54,3,716,,2,,,,,,,,,,,,
mcmillan_WR_TB,Jalen McMillan,WR,TB,,,,0,29,46,4,624,,0,,,,,,,,,,,,
